sku,name,price,inventory,image_urls
13013,T-Shirt,5.53,5,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637279958606340217-13013_SSP_342.jpg?v=1696442332, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637279958611965200-SSP_344.jpg?v=1696442338"
13110,T-Shirt,5.89,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637203017957229865-13110_SSP_360.jpg?v=1696442391, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637203017980823686-SSP_370.jpg?v=1696442398"
13112,T-Shirt,5.89,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637287719147745165-13112_SSP_328.jpg?v=1696442415, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637287719153995379-SSP_334.jpg?v=1696442419"
13210,Summer Set of 2,7.8,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637275779887001693-13210_SSP_250.jpg?v=1696442597, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637275779957314353-SSP_244.jpg?v=1696442603, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637275779963095779-SSP_252.jpg?v=1696442609, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637275779968564372-SSP_254.jpg?v=1696442614, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637275779979345652-SSP_256.jpg?v=1696442620"
13458,Blouse,5.89,7,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637275776216744237-13458_SSP_24.jpg?v=1696441924, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637275776224244360-SSP_30.jpg?v=1696441930, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637689775350400929-yu.jpg?v=1696441946"
13579,T-Shirt,5.53,4,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637303247082690595-DSC_7254.jpg?v=1696442356, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637303247101351658-DSC_7255.jpg?v=1696442361"
13587,Premature Set of 4,15.86,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/13587-premature-4lu--tulum-e-45e8.jpg?v=1696448994, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/13587-premature-4lu--tulum-7befb5.jpg?v=1696448997, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/13587-premature-4lu--tulum-e0d-82.jpg?v=1696448999, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/13587-premature-4lu--tulum-49eb71.jpg?v=1696449002"
13588,Premature Set of 5,17.05,3,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637287730319716782-13588_besli.jpg?v=1696449365, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637287730339091833-Alt_ust_Takim_SSP_52copy.jpg?v=1696449367, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637287730473623352-SEKER_ic_zibin_tek.jpg?v=1696449373, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637287730433154658-sapka_SSP_52.jpg?v=1696449374, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637287730359404349-CORAP_SSP_52.jpg?v=1696449377"
13839,T-Shirt,5.53,5,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637303254063651852-DSC_7300.jpg?v=1696442142, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637303254069202705-DSC_7301.jpg?v=1696442148"
14325,Pyjama Set,7.57,2,"https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637491772851014334-DSC_0259.jpg?v=1696448654, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637491772857420586-DSC_0260.jpg?v=1696448656, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637491772864451892-DSC_0262.jpg?v=1696448658, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637491772871170648-DSC_0263.jpg?v=1696448662, https://cdn.shopify.com/s/files/1/0741/5830/9667/files/637491772879139439-DSC_0265.jpg?v=1696448665"
